name,image,link,ratings,no_of_ratings,discount_price,actual_price,name_length,price_difference,rating_ratio,log_actual_price,discount_percentage,yeojohnson_actual,yeojohnson_discount
"ambrane 12w fast car charger, dual usb output, multi-layer protection, fast charging, compatible with all cars, without ca...",https://m.media-amazon.com/images/I/71QyeE+pn5L._AC_UL800_.jpg,https://www.amazon.in/Ambrane-ACC-74-M-Dual-Charger-Black-Silver/dp/B07FKWGXQG/ref=sr_1_3131?qid=1679133849&s=electronics&sr=1-3131,3.9,299.9622929380994,249.0,999.0,125.0,750.0,0.01300163417808254,6.907755278982137,75.07507507507508,-0.20526698702711738,-0.7024610318682004
"wings phantom 760 wireless earphones, earbuds with low latency 40 ms, sync app support, gaming designed case with led ligh...",https://m.media-amazon.com/images/I/51M22PILtdL._AC_UL800_.jpg,https://www.amazon.in/Wings-Wireless-Earphones-Headphones-Bluetooth/dp/B0BMFNFL4Q/ref=sr_1_3132?qid=1679133849&s=electronics&sr=1-3132,4.0,260.0,1399.0,2999.0,125.0,1600.0,0.015384615384615385,8.006367567650246,53.351117039013005,1.3834806824768149,1.6800475556814587
ebee mdf brown laptop table with drawer,https://m.media-amazon.com/images/I/611OM6qNqnL._AC_UL800_.jpg,https://www.amazon.in/Ebee-Brown-Wooden-Table-Drawer/dp/B06XN57S3L/ref=sr_1_3133?qid=1679133849&s=electronics&sr=1-3133,3.5,299.9622929380994,899.0,1499.0,39.0,600.0,0.011668133236740742,7.313220387090301,40.0266844563042,0.3319025854770483,1.071301837683593
"zebronics astra 10 portable wireless bt v5.0 speaker, 10w rms power, 15* hours backup, 2.25"" drive size, up to 6.4"" mobile...",https://m.media-amazon.com/images/I/71wzrBBYJ-L._AC_UL800_.jpg,https://www.amazon.in/ZEBRONICS-Zeb-Astra-Wireless-Portable-Function/dp/B08S74GTBT/ref=sr_1_3134?qid=1679133849&s=electronics&sr=1-3134,3.7,621.0,799.0,2499.0,125.0,1700.0,0.005958132045088567,7.824046010856292,68.02721088435374,1.0893265888685761,0.9087574356222866
lripl compatible sony bravia lcd/led remote works with almost all sony led/lcd tv's,https://m.media-amazon.com/images/I/71mn1KtP8KL._AC_UL800_.jpg,https://www.amazon.in/LRIPL-Compatible-Bravia-Remote-Almost/dp/B071VMP1Z4/ref=sr_1_3135_mod_primary_new?qid=1679133849&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3135,3.9,299.9622929380994,389.0,399.0,83.0,10.0,0.01300163417808254,5.991464547107982,2.506265664160401,-1.239281560361799,-0.08517809966405496
winble back cover for iphone 14 pro case | metal camera guard acrylic clear protective back | back cover case for iphone 1...,https://m.media-amazon.com/images/I/511gBp7BeeL._AC_UL800_.jpg,https://www.amazon.in/Winble-14-Pro-Metal-Protective/dp/B0BR7X4534/ref=sr_1_3138?qid=1679133849&s=electronics&sr=1-3138,4.2,24.0,499.0,999.0,125.0,500.0,0.17500000000000002,6.907755278982137,50.050050050050054,-0.20526698702711738,0.259020138783283
"aroma® nb119 titanium bluetooth wireless in ear neckband with playback 48 hrs, smart voice assistant, bluetooth v5.0, swea...",https://m.media-amazon.com/images/I/61ywjllpxcL._AC_UL800_.jpg,https://www.amazon.in/NB119-Titanium-Bluetooth-Wireless-Assistant/dp/B0BBTZHWH6/ref=sr_1_3139?qid=1679133849&s=electronics&sr=1-3139,3.4,183.0,499.0,2499.0,125.0,2000.0,0.018579234972677595,7.824046010856292,80.03201280512204,1.0893265888685761,0.259020138783283
"tukzer (imported) laptop tabletop stand notebook riser, 6 level height angle adjustment, 2x stronger m-shape aluminum, sil...",https://m.media-amazon.com/images/I/61YmPcWYiTL._AC_UL800_.jpg,https://www.amazon.in/Tukzer-Foldable-Adjustments-Laptops-Tablets/dp/B08L9467DT/ref=sr_1_3142?qid=1679133849&s=electronics&sr=1-3142,4.2,299.9622929380994,595.0,2499.0,125.0,1904.0,0.01400175988408889,7.824046010856292,76.19047619047619,1.0893265888685761,0.5020254243477755
"portronics konnect spydr 31 3-in-1 multi functional cable with 3.0a output, tangle resistant, 1.2m length, nylon braided(z...",https://m.media-amazon.com/images/I/610hV-aDNQL._AC_UL800_.jpg,https://www.amazon.in/Portronics-Konnect-Functional-Resistant-Braided/dp/B0B21C4BMX/ref=sr_1_3143?qid=1679133849&s=electronics&sr=1-3143,3.5,215.0,242.0,899.0,125.0,657.0,0.01627906976744186,6.802394763324311,73.08120133481646,-0.3363243352178782,-0.7419378868397174
urbn 10000 mah li-polymer ultra compact power bank | 12w fast charge | dual usb output | type c & micro input | pocket siz...,https://m.media-amazon.com/images/I/61VAb0ZZxFL._AC_UL800_.jpg,https://www.amazon.in/URBN-Li-Polymer-Compact-Charge-Bright/dp/B08HDYQN4W/ref=sr_1_3144?qid=1679133849&s=electronics&sr=1-3144,3.9,299.9622929380994,999.0,2499.0,125.0,1500.0,0.01300163417808254,7.824046010856292,60.024009603841534,1.0893265888685761,1.2166078229952864
opentech® tempered glass screen protector compatible for iqoo 7 5g / iqoo 7 legend 5g / iqoo 9 se 5g with edge to edge cov...,https://m.media-amazon.com/images/I/61PqE3izl-L._AC_UL800_.jpg,https://www.amazon.in/Compatible-iQOO-Legend-SE-Installation/dp/B09NZR92RK/ref=sr_1_3146?qid=1679133849&s=electronics&sr=1-3146,4.3,299.9622929380994,299.0,999.0,125.0,700.0,0.014335135119424339,6.907755278982137,70.07007007007007,-0.20526698702711738,-0.44918014525356836
